100 500
8245 9793 551
426 7310 532
9443 5763 93
6864 7185 366
9682 9420 372
7674 2331 375
162 2501 691
9826 3382 807
5997 6273 564
7686 6641 937
8699 6966 570
3285 7104 799
442 764 42
8257 1806 465
6865 8025 825
8674 5110 615
4170 9100 423
8773 3614 544
1216 1989 339
7151 898 359
1410 4825 690
3230 7924 419
3678 9408 428
1306 9675 576
2033 5344 146
2668 732 224
2311 5954 384
4189 2753 787
3070 2446 614
4559 9935 588
6823 9585 827
1397 994 513
5037 170 617
960 6253 91
2160 8111 738
7152 9922 740
2936 6734 103
7846 2966 777
6142 5504 562
8993 8176 567
849 1661 172
5260 3160 336
3967 9449 185
2265 7037 469
1895 3176 349
6972 8719 864
9113 4722 271
6065 4150 276
4892 3377 29
404 3404 45
1488 3908 322
3326 776 569
6994 7524 322
3742 3136 293
3029 2735 258
7664 230 715
748 9277 388
9742 4716 133
8726 2007 325
8105 6974 321
1535 1430 510
2045 648 500
6152 8110 957
1150 1044 576
7839 7906 227
801 9327 152
1814 479 561
6455 8808 661
8004 6549 677
8297 7385 487
5636 2313 799
3967 6384 597
1590 3709 322
7452 6669 403
2068 5558 919
3643 9955 657
6988 5688 579
603 3140 599
150 1753 460
536 7989 492
6012 7689 656
3668 7826 641
8169 123 222
2987 2525 554
3024 7636 185
6262 8660 346
6301 229 557
1396 7892 65
290 5201 237
4561 2358 605
759 4556 311
2313 4099 809
244 9268 429
7239 6746 639
7373 4127 493
4735 3385 658
1817 4755 522
7564 6338 257
4878 6903 318
8863 4254 676
4539 1477 613
9266 7192 542
1706 7014 710
5084 1996 466
2215 5997 730
706 2974 231
6905 9371 560
3425 7149 290
8639 7016 255
3895 2364 235
1144 4982 481
5750 9313 672
9737 3314 501
5651 967 604
6569 866 511
1573 7460 609
2343 839 524
4652 4049 598
7854 6089 592
2397 69 552
8438 9455 583
9396 5344 736
8826 9173 552
2493 7465 362
6190 2741 522
9829 3686 813
4075 1931 568
2999 165 217
1597 5002 138
1132 8166 549
5868 2706 561
5626 8211 427
9897 279 257
8612 4103 497
6368 7361 164
4173 1158 374
6816 9921 128
6502 5642 556
5446 5348 560
9459 1636 187
4441 5640 298
5322 8516 253
7572 8321 224
5033 5521 595
3323 6166 382
3688 5543 112
5224 5666 569
3754 1473 261
2297 8718 1016
5577 5017 610
6079 6102 291
6176 2895 515
2375 2678 322
8537 7821 624
8026 4348 728
9458 2467 575
9989 1132 336
7336 3913 852
9454 2369 249
9434 9129 403
4887 9474 120
4673 6463 473
5141 4779 262
7937 7438 439
3498 9866 548
2456 9577 664
5968 4984 270
8825 8343 670
7662 3714 861
2516 2041 588
8063 1974 688
4508 8052 63
3107 8196 405
8317 8913 297
566 7751 377
4394 1805 509
3578 5419 291
8269 8719 671
199 2558 276
2509 3697 618
2424 1317 327
9626 4744 63
6301 8451 411
9439 3964 618
2166 1955 344
6005 6581 735
282 6865 186
985 9741 141
5062 9302 565
5006 1980 739
7053 9400 381
137 631 341
4820 8406 677
5702 5019 565
7316 4564 294
5068 6092 1032
5881 1046 489
836 8535 713
5850 275 648
2499 4368 365
8583 4856 387
949 8865 177
8073 1934 444
4958 9487 514
1236 9964 227
7819 4641 442
9364 7957 758
1625 4184 711
2715 3679 344
5555 32 214
8243 6975 443
6124 4125 653
4374 3313 408
2660 224 89
3588 1511 408
4592 8523 990
2719 1893 641
3740 7144 335
3827 8698 628
6632 1415 310
8662 4451 378
6056 4379 242
8760 4033 303
8563 1476 826
7713 471 726
7860 5956 287
3798 3984 85
6433 4524 281
7297 5445 436
4748 7238 214
3308 5692 153
2113 2379 787
3937 5854 213
9524 7764 363
4552 2508 488
5531 9567 229
3311 7940 308
3946 2072 287
1973 8861 396
9900 6038 337
5684 7760 836
8347 9483 407
8096 1132 334
4007 1746 544
2930 5108 626
5336 2590 519
7152 7449 827
4970 1090 311
3303 846 246
5206 4208 308
9706 738 493
127 3017 387
8678 4073 404
1441 7003 177
2934 7693 330
3042 8619 797
5453 7741 262
4454 9902 202
8873 4813 260
1648 1803 588
6273 6984 341
4394 3426 499
785 5716 639
868 4089 154
6562 6074 728
4649 6268 480
3164 4776 841
5637 8194 717
5201 3431 347
5198 8135 465
1124 4592 526
3106 2930 387
2333 3912 321
2832 7558 360
5078 4480 634
9362 1351 638
7816 108 722
1129 8601 182
5824 8349 332
9042 8738 573
4424 3691 663
1358 7588 444
4819 6995 402
2135 20 711
426 7333 233
4508 7903 184
8277 3966 442
833 6962 607
4231 3665 318
4520 9309 338
4497 3882 295
7012 2313 591
3990 4494 430
914 6166 543
2843 9957 579
4904 7267 116
0 6262 841
1208 1172 305
9610 3343 91
7544 6388 75
7028 2052 339
4291 5305 652
2371 1476 324
2267 6602 261
5141 3139 610
5911 5990 560
3374 9275 716
8303 7364 364
3769 5570 132
9883 6613 119
1879 4787 310
232 8231 472
7402 1440 364
9403 7012 532
1135 6948 778
9752 4515 155
5352 4044 639
9820 4075 538
1872 8439 570
677 7014 427
7931 2940 561
9356 1305 779
2216 7660 508
5021 5985 170
9582 4904 498
8950 1461 399
6044 9183 120
6044 9798 418
6975 5448 261
6810 8111 119
8748 2914 388
2626 452 157
3310 8799 427
4528 5183 361
3590 1557 351
8549 1521 698
4498 7905 216
2826 6714 586
1917 7848 53
9051 1499 341
9104 8002 419
9312 5148 334
3537 5357 158
4946 512 173
7157 8108 727
8623 2257 552
7375 7602 226
2709 685 472
2753 3589 625
5868 6343 702
5147 4417 863
4217 9645 353
2323 3395 866
2711 4240 605
7595 8114 503
2092 6700 328
6116 1404 625
8200 9653 373
6761 3147 619
6518 3918 676
7607 1493 634
2527 4982 346
9095 5237 100
5668 1848 213
8826 7888 732
4544 325 226
2306 8761 657
9970 981 485
2156 9033 239
5221 9752 114
7148 7313 426
2804 9616 380
5070 1004 306
5622 1831 13
503 2140 670
2102 4463 638
3633 4629 200
9445 9081 411
6218 1465 323
929 1397 152
9354 1825 113
1722 8012 128
6938 1693 284
8993 5447 286
7078 566 490
1551 4226 531
4232 4355 375
3843 9302 175
5359 5817 467
7485 2215 485
7957 5939 419
6678 7942 766
569 2475 716
7023 3139 525
293 4305 864
4536 9647 274
6130 6259 164
4011 3069 538
4304 9356 710
8516 1382 320
9922 67 390
1961 506 474
774 2156 294
9808 2485 126
7973 7294 414
4700 2282 679
3233 7730 430
224 154 764
206 3600 456
9646 499 130
7905 4182 362
6498 4035 910
6793 6861 644
3456 7449 882
6217 1972 541
5184 2491 612
8391 7145 543
2998 5517 476
5653 2806 611
8003 3626 279
6452 9055 482
2260 6038 538
6786 8836 284
2544 3344 579
2436 2190 368
195 341 506
2725 6693 209
4377 5870 587
3554 4185 246
3320 6123 421
2510 8504 215
8614 901 529
2001 1612 198
2771 7654 417
771 774 832
7632 3575 945
9829 6244 474
9613 2967 312
5080 8510 111
6311 7517 129
7052 6506 215
4210 6129 583
9551 4939 775
2000 9457 286
9125 1672 140
5580 1635 357
6528 547 115
8888 4881 716
2159 1659 462
8887 9282 489
8785 2871 302
2858 4967 318
9115 8823 691
7934 547 494
7333 598 600
8064 738 634
3456 8627 725
6867 9360 256
3566 5219 256
8817 2691 645
3243 750 262
678 9771 339
1297 9567 259
4652 9808 532
7578 9891 313
5443 6364 586
2762 8301 346
1331 1877 438
3476 5617 260
8777 7162 505
6215 6841 500
7900 6024 536
1820 1119 629
5384 5387 508
6339 553 238
4430 9582 423
7655 5109 338
5706 5304 512
1028 6710 653
1465 8606 252
6602 6908 158
1322 9364 832
1561 2653 389
7594 5037 226
8271 6371 875
2199 838 418
9564 99 547
3214 7737 383
7571 4950 535
3124 3910 163
5504 3906 328
9844 9511 477
5367 5550 325
4816 2747 52
8613 6281 219
7706 1567 211
9541 9028 56
931 1102 467
8034 4877 750
6139 2657 642
5792 9403 22
5792 6146 16
5792 8791 10
3493 4515 10
3493 5331 17
3493 9077 13
3493 6718 13
3493 7244 16
3493 9381 13
152 9622 7
152 3367 15
152 1622 16
152 6505 18
152 3845 19
152 2941 12
152 7196 14
152 4331 13
3345 6369 14
3345 4693 15
3345 4033 6
3345 5959 11
3345 7552 8
3345 3946 4
3345 7332 13
6858 8280 12
6858 7477 14
5144 6901 17
5144 8771 11
1963 7327 19
1963 6468 22
1963 4030 10
1963 8940 20
1963 5099 18
1963 4888 20
1963 3248 19
8799 9235 14
8799 9666 7
7868 8641 15
7868 9771 14
7868 9905 4
6926 9554 12
6926 7033 13
6926 8511 14
6926 8090 9
6926 9546 15
6926 8000 4
6926 7398 10
5935 6337 14
5935 6132 14
8070 9175 11
3996 5327 11
3996 8008 15
3996 4209 13
4999 9195 9
4999 6175 16
2358 9515 5
2358 2997 10
2358 4697 8
2358 4910 16
2358 4173 16
2358 4939 18
2358 8175 12
2358 9361 15
7039 9612 8
7039 7491 18
7039 7463 5
7039 8933 14
5728 6555 6
5728 7021 12
5728 9770 16
5728 6115 12
1494 9915 14
1494 7276 11
1494 4807 15
1494 6346 15
1494 1578 14
1494 2645 4
1494 9139 12
3547 8669 15
3547 9419 16
3547 6826 18
3547 8357 7
3547 6101 16
3547 5890 16
8217 9019 12
8217 8521 5
6442 8471 12
6442 8415 15
9498 9897 11
2765 6497 18
2765 4877 9
2765 9246 13
2765 4459 10
2765 2961 23
3414 4722 13
3414 8745 15
3414 8640 17
3414 5274 16
3532 7294 7
3532 9682 11
3532 9636 8
3532 7161 14
3532 4537 5
3532 9654 10
7139 7219 15
7139 8655 18
7139 8327 13
7241 9294 13
7241 8744 16
7241 9351 11
8242 9559 15
8242 8484 17
7577 7857 10
4112 9015 17
4112 9441 12
4112 7220 6
4112 8583 19
2269 7369 10
2269 2276 19
2269 4395 9
2269 4673 14
2269 2663 5
3761 7220 17
3761 4112 18
3761 9441 12
3761 7136 14
3761 6302 6
3761 6280 17
3761 3928 8
3761 6640 20
3489 5317 17
3489 7279 8
3489 6656 19
3489 6189 14
3489 6969 13
3489 5330 14
2008 3417 17
2008 9134 8
2008 2700 20
