10 50
36 77 26
7 76 71
11 83 40
40 58 54
18 39 16
0 56 82
49 67 39
60 64 55
81 91 46
13 84 66
8 83 24
75 87 36
91 80 45
77 24 18
87 78 57
56 75 62
7 63 28
3 19 9
98 43 51
29 17 53
34 30 37
25 83 49
97 85 34
99 31 63
76 65 44
67 37 78
0 43 87
76 91 72
75 53 50
15 14 40
84 23 36
89 91 43
38 92 24
62 37 67
88 92 44
54 22 29
74 31 51
58 23 75
17 57 14
6 93 15
22 26 52
82 22 5
69 59 45
13 96 70
64 80 65
11 0 52
3 0 35
92 42 61
45 6 15
31 85 39
43 99 19
43 65 21
43 88 4
43 58 15
53 84 9
53 64 15
53 92 3
53 55 12
32 50 9
32 74 13
32 68 9
32 95 13
32 93 8
32 80 14
73 76 14
20 82 16
20 62 18
20 76 9
20 54 15
20 56 14
17 51 15
17 91 19
17 59 5
17 75 12
17 57 14
16 52 18
16 44 13
16 19 4
16 67 9
16 53 10
16 84 6
16 87 13
48 90 11
48 83 12
48 80 13
48 98 8
30 69 13
30 98 5
30 80 11
30 42 12
30 33 9
30 37 15
65 75 6
65 88 11
65 99 6
34 89 11
34 70 12
34 81 5
34 58 17
34 88 13
34 65 13
60 94 22
60 89 18
35 36 11
35 66 10
35 65 7
35 75 8
35 59 12
22 43 12
22 88 14
22 58 17
22 62 13
22 82 5
6 83 9
6 72 15
6 61 10
6 45 15
6 50 18
6 32 14
6 29 5
6 48 11
2 49 17
2 92 11
2 21 17
2 73 15
50 61 19
50 74 12
50 68 12
45 61 7
45 74 14
45 50 11
9 70 11
9 79 12
9 55 15
9 92 15
9 49 5
9 46 4
9 81 14
58 88 12
58 81 13
58 62 18
58 82 11
94 95 11
54 76 10
54 73 3
54 56 7
52 85 19
52 84 14
52 87 4
75 99 22
29 48 10
29 83 13
29 50 11
29 32 7
29 93 10
29 80 17
29 98 14
59 91 17
59 75 5
68 74 12
68 85 23
68 95 5
68 93 8
13 24 7
13 78 14
13 40 12
13 66 21
13 36 19
13 59 18
13 91 9
5 24 13
5 13 12
5 91 5
5 51 18
5 77 5
67 86 19
41 94 10
41 93 10
41 95 17
41 85 19
41 60 15
12 18 5
12 39 11
12 60 8
12 27 15
12 89 15
12 34 13
12 25 5
12 35 9
55 79 8
55 87 12
55 84 14
55 92 13
55 70 13
14 45 6
14 96 17
14 74 12
14 50 13
10 41 8
10 95 13
10 85 11
10 52 15
10 87 10
10 79 10
10 27 16
10 60 19
15 90 16
15 83 16
15 48 8
15 98 16
69 98 15
3 16 5
3 19 10
3 67 16
3 38 13
3 64 8
3 31 7
3 53 16
3 84 11
93 95 6
93 94 6
46 81 13
46 70 17
46 49 12
46 76 18
46 62 17
46 58 20
39 42 18
39 94 4
39 41 13
39 60 18
39 66 10
40 78 8
40 66 14
71 72 10
71 83 14
71 90 6
21 92 8
21 53 10
21 31 9
21 49 18
83 90 9
11 68 11
11 74 20
11 63 15
11 44 19
11 52 26
11 85 6
11 95 14
74 96 16
72 83 8
72 90 12
4 74 14
4 14 20
4 96 5
4 28 14
4 63 9
4 44 18
4 11 6
4 68 16
84 87 7
84 92 14
70 89 5
70 79 10
70 81 11
25 35 5
25 89 14
25 34 12
25 88 14
25 65 8
25 75 7
37 69 16
37 40 11
37 78 8
80 98 8
80 93 11
80 94 18
7 86 19
7 97 24
7 23 11
7 47 17
7 38 15
7 67 12
7 19 17
18 66 8
18 33 10
18 39 16
18 60 12
18 25 10
18 35 13
18 36 15
63 96 13
63 97 13
63 86 9
56 76 12
47 67 21
42 98 17
42 80 3
42 93 14
42 94 17
28 96 15
28 97 9
28 86 14
28 63 10
79 87 7
79 84 13
79 89 9
38 67 14
38 47 17
38 64 6
36 40 22
36 66 14
36 75 9
36 59 12
36 91 18
8 15 12
8 48 12
8 98 15
8 30 19
8 69 17
27 60 18
27 41 16
27 87 12
27 79 7
27 70 8
27 89 3
49 55 12
49 92 17
49 73 15
77 91 8
33 42 9
33 94 14
33 39 11
33 66 5
33 40 12
81 89 8
81 88 15
23 97 16
23 47 9
23 86 21
86 97 17
44 63 11
44 86 9
44 52 5
44 85 20
24 78 11
24 40 13
24 91 10
62 81 20
62 76 11
62 82 8
26 37 9
26 69 13
26 30 8
26 42 12
26 33 5
26 66 12
26 40 12
26 78 10
76 82 14
31 53 12
31 64 13
31 92 10
57 59 16
57 75 16
57 65 12
57 99 19
85 95 19
85 87 14
64 67 10
19 44 8
19 63 12
19 86 5
19 67 12
19 52 11
61 72 5
61 83 12
51 77 15
51 91 4
51 59 15
88 99 13
0 23 8
0 47 5
0 7 13
1 46 18
1 9 18
1 49 15
1 2 24
1 73 18
1 54 13
1 76 8
1 62 17
