100 500
8211 7332 0
7696 5876 0
5272 4199 0
849 1106 0
5893 5944 0
8314 8372 0
2652 6287 0
8354 1395 0
2319 9057 0
3802 4340 0
7350 6197 0
7540 4290 0
6251 6388 0
7688 6473 0
6695 8780 0
1681 1258 0
2465 5729 0
7134 7737 0
9928 4336 0
8843 2173 0
6632 3509 0
545 9284 0
9796 5251 0
7032 8467 0
4308 834 0
2807 1659 0
7031 348 0
2301 9634 0
6736 6341 0
6108 9783 0
5122 4141 0
7394 3939 0
6222 4528 0
1676 6150 0
5216 6871 0
4676 1848 0
6733 1573 0
7485 6529 0
6825 4517 0
4997 1133 0
1703 4156 0
9144 5086 0
4504 7798 0
4720 7592 0
4139 7180 0
7376 5613 0
1321 4770 0
9552 3895 0
5650 7580 0
46 7219 0
4452 1074 0
5419 1185 0
2647 2904 0
4066 9472 0
3773 5415 0
6958 1828 0
9572 2454 0
6914 428 0
252 7987 0
8021 4392 0
1519 1749 0
5 9193 0
2871 5910 0
3088 4873 0
3490 9486 0
2092 4294 0
560 7512 0
5479 3208 0
6768 5898 0
9032 6894 0
1313 5990 0
8722 7237 0
8445 1989 0
7666 8697 0
6328 2039 0
9441 7847 0
3788 5799 0
7040 3011 0
1709 129 0
7884 1551 0
9615 6329 0
5846 176 0
193 7677 0
9736 3313 0
9927 8768 0
207 1241 0
1111 5282 0
8478 9556 0
7271 2496 0
4605 9951 0
4535 4047 0
7798 4675 0
6198 4839 0
4038 7907 0
1320 8275 0
5810 7287 0
956 1656 0
3815 1149 0
5686 3551 0
814 5613 0
8672 1022 0
3206 9783 0
2656 8037 0
5691 6279 0
533 296 0
6230 1421 0
695 4028 0
2448 6893 0
5219 6487 0
1152 6539 0
4762 6963 0
3827 5718 0
4971 3994 0
3219 7009 0
7546 4033 0
2623 2570 0
1407 2181 0
2353 4063 0
218 4396 0
342 752 0
4692 2924 0
8525 1740 0
6953 973 0
8633 2172 0
7460 6138 0
5064 2222 0
3101 5243 0
4292 4424 0
9237 7511 0
1434 3135 0
7897 409 0
5705 5656 0
2590 4410 0
9720 2809 0
8806 6414 0
9913 9851 0
5691 8438 0
1591 2644 0
9411 6576 0
1168 3224 0
2714 2584 0
1798 2167 0
4179 6091 0
6592 9769 0
9954 8026 0
2904 4203 0
8435 4962 0
9860 1025 0
5724 5932 0
186 883 0
2346 99 0
7086 4389 0
4889 8677 0
7033 4301 0
1605 4554 0
7525 4320 0
3490 5675 0
6487 7670 0
1766 9431 0
7439 8073 0
7457 343 0
2276 2244 0
1657 2136 0
9622 3734 0
8068 9808 0
4617 6767 0
6260 1703 0
1156 1149 0
6732 4542 0
1802 8337 0
9096 5679 0
9009 2586 0
1355 1849 0
6608 9473 0
1280 4047 0
7546 5090 0
743 9823 0
3686 8752 0
1959 3308 0
2486 28 0
9469 7103 0
3147 5729 0
8806 4303 0
3230 1890 0
8845 5033 0
228 4293 0
7064 5589 0
3232 8419 0
7438 9840 0
7893 5071 0
240 5439 0
161 983 0
5262 3847 0
9735 3574 0
3508 2222 0
9954 2977 0
5677 3101 0
5058 836 0
3756 8288 0
2726 2602 0
9673 2954 0
3247 6738 0
8544 6479 0
5157 2334 0
2672 9402 0
7405 2912 0
1194 7566 0
3895 6456 0
7766 9982 0
6382 1274 0
8556 6336 0
603 4234 0
5789 5661 0
5070 9546 0
3949 7796 0
2148 9975 0
7103 1747 0
6713 1999 0
8227 8222 0
4333 7251 0
7625 1739 0
163 8819 0
5657 410 0
1627 9775 0
6744 8010 0
7401 5301 0
698 8004 0
9535 6488 0
17 957 0
6034 319 0
8753 4534 0
294 5856 0
6281 7007 0
7855 860 0
5229 8541 0
4463 9206 0
280 4626 0
8025 2289 0
1388 6005 0
2065 8133 0
367 9466 0
9786 7417 0
3823 9321 0
3905 3840 0
278 6291 0
4159 5383 0
7177 4453 0
7592 9811 0
1460 1799 0
7023 3042 0
340 1487 0
8600 620 0
2465 6626 0
9262 3854 0
8983 1327 0
8339 9350 0
7145 8125 0
6767 968 0
3798 7025 0
4809 428 0
9668 5320 0
5811 6846 0
9774 3403 0
6657 7586 0
1555 3680 0
6980 1895 0
1519 5581 0
8868 3985 0
8559 8130 0
4191 7542 0
5809 8882 0
3244 2954 0
3359 6363 0
275 7157 0
9740 5084 0
7585 9409 0
404 9748 0
2607 6530 0
9504 9264 0
4117 1059 0
9296 7449 0
9306 7168 0
3030 8174 0
1153 1589 0
2656 1696 0
5483 8465 0
6930 5079 0
7772 289 0
1443 8047 0
7446 7535 0
9483 1383 0
6944 9887 0
7483 9551 0
2770 6987 0
5167 6887 0
8046 816 0
688 3705 0
7984 3719 0
1879 5489 0
1660 4536 0
3537 7144 0
9353 467 0
2223 7125 0
7108 18 0
5172 4554 0
7554 4655 0
2289 850 0
895 9772 0
6754 3665 0
6760 8273 0
6904 1158 0
9089 7592 0
4863 3425 0
7663 3095 0
5266 9324 0
3983 5155 0
6468 3336 0
1974 5043 0
6814 9082 0
5062 8338 0
9988 8968 0
9346 2277 0
9818 241 0
8402 2924 0
258 1514 0
1198 3514 0
9024 287 0
7458 240 0
65 5122 0
3335 1683 0
798 3670 0
6839 3618 0
7006 8813 0
8661 172 0
7896 75 0
8511 7884 0
5395 7857 0
6514 1566 0
4450 4916 0
4490 1060 0
6430 5688 0
926 1806 0
2328 8384 0
2046 2393 0
9858 5381 0
428 7008 0
9051 7267 0
626 2410 0
2433 5640 0
8934 329 0
2067 7445 0
4565 7463 0
1654 7431 0
9029 2456 0
2347 3519 0
3516 5129 0
9208 4442 0
6936 1536 0
9179 5334 0
281 5389 0
7068 709 0
2398 2471 0
4329 9376 0
4881 6762 0
5016 3816 0
3443 7084 0
7613 4360 0
899 9268 0
1792 9928 0
1724 491 0
9799 1593 0
5621 5359 0
2387 8909 0
3247 7918 0
4243 3528 0
3308 1311 0
590 2058 0
3783 1271 0
1434 5016 0
8033 2803 0
5184 7828 0
6239 9150 0
2188 7138 0
4770 3980 0
3418 2846 0
4472 3217 0
4439 6445 0
8577 6827 0
1706 1824 0
1097 2301 0
1705 4405 0
9965 8647 0
2815 100 0
9918 4250 0
5116 7951 0
3405 6653 0
2131 9644 0
5803 4319 0
6782 573 0
8300 6552 0
3419 9124 0
9769 4211 0
5569 4698 0
7390 7275 0
2875 8487 0
5928 4580 0
9245 5893 0
9579 2060 0
5993 9497 0
2662 1110 0
3800 6067 0
4115 5931 0
5711 6270 0
250 8845 0
6843 4902 0
1749 6614 0
4026 1519 0
7177 5947 0
2569 4567 0
9574 5444 0
9407 5503 0
6376 8652 0
1396 5955 0
712 7390 0
5452 3375 0
4852 5604 0
5794 5319 0
1535 7858 0
1589 8138 0
3055 4784 0
3040 4805 0
7750 3419 0
6324 4928 0
5718 8893 0
5847 5293 0
690 5254 0
7148 7066 0
3906 4896 0
3022 4619 0
2286 4826 0
4346 3490 0
431 140 0
5161 1966 0
7998 6750 0
6456 1054 0
7886 9497 0
5859 5637 0
9268 8535 0
6917 4986 0
3780 2764 0
6631 4470 0
8019 3779 0
1537 1925 0
8676 4559 0
2896 7314 0
9385 3594 0
7157 6168 0
3735 2318 0
8135 8085 0
5421 4591 0
5491 3307 0
440 7702 0
5296 9708 0
2589 2213 0
1047 6370 0
4978 7678 0
7192 9349 0
1458 5081 0
1274 134 0
5992 523 0
3800 1730 0
4117 957 0
7898 4204 0
3276 2385 0
8642 8697 0
6977 485 0
2004 3769 0
8188 3653 0
9830 7129 0
5866 877 0
9851 7196 0
4907 7044 0
6545 2717 0
2125 4172 0
2851 8118 0
4695 3004 0
9848 5164 0
3961 4098 0
9369 7237 0
6484 4363 0
2286 3461 0
4848 4291 0
3582 9388 0
4296 9764 0
6518 162 0
6993 6369 0
7359 1901 0
9765 256 0
4618 1891 0
780 3822 0
541 625 7
541 9012 10
541 7351 7
541 9222 10
541 1873 6
541 5913 9
541 3249 12
541 4698 9
2272 9558 12
2272 2924 13
2272 6946 14
2272 8505 12
2272 2986 13
2272 4817 11
2272 3948 8
4052 5399 18
4052 6275 15
4052 5326 19
4052 8436 22
4052 7350 12
4052 5500 16
5327 6145 11
5327 5838 18
5327 7664 7
5327 8709 12
5327 6551 13
5327 6767 13
5327 6415 13
7730 9845 7
7730 9465 16
5099 9681 8
5099 8289 13
5099 5709 15
5099 7193 15
4053 8830 7
4053 7782 3
4053 7885 10
4053 5794 11
4053 9017 20
4053 4922 12
3152 3901 15
3152 9252 12
3152 5470 12
3152 8628 8
7657 8280 18
7657 9499 17
7657 8457 20
7209 7343 15
7209 7787 17
7209 7428 12
7209 9945 12
8157 8318 15
7907 9590 15
7907 9947 12
9033 9326 19
9033 9516 7
1790 7345 12
1790 2978 19
1790 7561 19
1790 3956 15
7080 9236 16
5135 7793 15
5135 6143 17
5135 8137 13
5135 9484 19
5135 8033 22
931 3559 16
931 2961 22
931 7079 5
931 4980 20
931 8662 19
931 8410 17
931 4584 13
4771 6583 5
4771 6271 15
4771 6499 10
6180 8934 10
5594 7396 18
5594 8175 4
5594 8298 12
5594 7489 13
5594 5875 17
5594 9159 11
9398 9490 16
2906 6891 9
2906 5987 4
2906 3330 10
2906 5799 8
2906 8180 6
1400 8382 19
1400 8029 24
1400 1525 10
1400 8129 15
1400 1818 18
1400 4836 14
1400 4001 16
5456 5616 11
5456 5667 10
5456 6725 14
5456 8640 16
732 3631 11
732 1911 15
732 1624 3
732 3247 7
732 7416 7
732 7525 18
732 6941 17
732 9086 14
6774 8564 18
6774 9108 13
6774 9757 9
5777 9252 11
5777 8625 13
5777 8547 13
5777 7508 15
5777 8848 13
5563 7995 14
5563 8621 12
5563 7991 17
9573 9597 15
1769 3319 9
1769 3155 14
1769 5034 9
1769 6618 11
1769 7865 8
1769 2456 10
1769 3842 16
1769 2623 10
6393 7829 14
6393 6477 9
6393 8055 18
2686 2758 13
2686 5498 15
2686 3365 10
2686 6328 7
2686 9875 14
2686 3421 13
2686 6949 17
3911 9994 9
3911 5379 17
3911 9634 12
738 8092 19
738 4174 13
738 8760 9
738 2019 18
738 7172 11
738 5350 19
3248 5095 13
3248 5902 20
3248 9451 8
3248 7992 15
3248 6270 12
3248 7095 16
3248 3414 16
3248 4909 19
1843 2340 24
1843 9145 6
1843 8684 18
1843 6759 22
1843 7326 13
8975 9319 15
256 3334 11
256 7812 6
256 1421 10
256 2155 13
256 7822 18
7656 9014 12
237 8338 10
237 8242 13
237 4682 14
237 863 19
237 4452 12
