100 500
888 271 503
1588 3979 382
9403 577 662
4484 3307 261
6127 3150 423
8483 9473 566
4989 3043 333
2500 1534 568
9548 5528 210
8829 2636 385
6975 8856 128
5688 7890 632
6094 9130 376
2264 3603 347
2749 1533 451
2179 3638 762
8156 119 452
3969 7560 319
697 8453 916
7219 3176 601
1604 5703 371
2649 6593 170
8746 1501 597
4479 8294 520
3381 3308 694
7282 356 602
8517 9322 664
4598 963 366
8453 6862 800
4566 1202 157
4747 3098 273
4840 9256 558
3217 5162 793
3168 266 644
3615 387 391
3442 1571 343
6090 2444 614
4516 1188 390
3945 8995 232
5834 3679 652
8656 3116 497
4035 7173 909
2439 8634 355
8136 7244 305
1848 9055 726
8446 2948 614
2153 9639 334
8556 1722 756
1153 1724 357
1989 4768 630
2111 1783 352
2692 4554 160
4227 7208 433
2094 4525 620
2556 7929 567
8204 1212 328
7397 8591 629
4737 6188 164
3577 9225 670
3432 5426 573
4632 8231 552
4726 6785 114
7870 3282 1075
4860 9023 245
1358 6849 269
143 3469 403
8632 9187 259
4375 2860 212
2748 2822 365
7385 5304 520
751 5589 527
2868 8148 173
532 3957 347
689 4110 327
9534 4121 373
5888 4167 562
2352 614 482
7304 6574 260
3896 2164 411
1949 5254 348
9013 8445 367
5075 3998 681
7632 5803 158
6858 380 137
8625 595 624
2036 5728 492
2536 4904 571
228 3068 402
8861 917 439
7178 8396 333
1391 3066 552
8915 3743 523
32 6219 259
318 280 634
8384 8619 170
1886 3749 249
7064 3314 686
7747 4697 165
9117 957 94
1429 4094 226
1552 3466 392
6174 440 315
4722 2754 307
9861 9936 498
3672 7039 456
4684 5063 572
6458 3599 293
5158 2842 280
9818 1828 592
3123 4554 894
448 5009 438
4656 7512 603
8323 2403 552
8561 3792 410
3361 9991 410
4238 1265 148
9809 412 686
8058 4531 534
3167 7919 858
4467 3191 582
1310 9151 576
4606 4120 414
2750 9764 635
6963 8921 264
1593 86 342
9827 8393 167
5095 4483 132
5905 9771 542
3239 819 824
3563 6600 676
810 7802 711
4217 6971 814
4566 2275 489
1502 4085 796
6546 5970 230
3628 7857 180
1473 8234 392
1977 576 270
4351 8940 680
5849 2296 506
5378 5676 303
689 474 306
6512 2946 337
245 9751 116
3765 160 816
2703 927 107
4314 3272 486
7898 5233 586
1900 5753 363
9318 8446 353
1723 9299 601
2655 9548 460
